Name,Team,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Pass_Cmp%,Pass_Cmp_per_game,Pass_Att_per_game,Pass_Yds_per_game,Pass_TD_per_game,Pass_Int_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_jersey_number
Drake Maye,NE,QB,22.0,13.0,12.0,225.0,338.0,2276.0,15.0,10.0,54.0,421.0,2.0,7.796296296296297,9.0,6.0,2024,0.7647058823529411,0.9230769230769232,0.0,0.0,392.0,0.665680473372781,17.307692307692307,26.0,175.07692307692307,1.1538461538461535,0.7692307692307693,4.153846153846154,32.38461538461539,0.1538461538461538,0.6923076923076923,0.4615384615384615,30.15384615384616,183.14,14.08769230769231,Drake Maye,2024.0,10.545454545454543,2.743767842707831,4.937052954590003,7.438541142447175,-2.501488187857171,14.839802296372238,41.66786634565626,-1.3903462198903995,60.09090909090909,409.7272727272728,2.727272727272727,1.818181818181818,89.26226349170439,40.27272727272727,67.29634369616869,64.45053976836694,2.845803927801748,20.52106424287165,50.26442851215431,10.0
Geno Smith,LV,QB,34.0,17.0,17.0,407.0,578.0,4320.0,21.0,15.0,53.0,272.0,2.0,5.132075471698113,9.0,0.0,2024,1.0,1.0,0.0,0.0,631.0,0.7041522491349481,23.94117647058824,34.0,254.1176470588236,1.2352941176470589,0.8823529411764706,3.117647058823529,16.0,0.1176470588235294,0.5294117647058824,0.0,37.11764705882353,281.0,16.529411764705884,Geno Smith,2024.0,8.944444444444445,2.838132097136654,5.2257521833026255,7.05333983514556,-1.8275876518429344,12.105263620787529,39.67256211836033,-2.394025425692213,64.22222222222223,480.0,2.333333333333333,1.6666666666666667,93.54734474370272,45.22222222222222,71.14088095370546,67.43581389014372,3.705067063561749,20.61481156626688,44.48190638670171,7.0
Jalen Hurts,PHI,QB,26.0,15.0,15.0,248.0,361.0,2903.0,18.0,5.0,150.0,630.0,14.0,4.2,9.0,5.0,2024,0.8823529411764706,1.0,0.0,0.0,511.0,0.6869806094182825,16.533333333333335,24.066666666666663,193.53333333333333,1.2,0.3333333333333333,10.0,42.0,0.9333333333333332,0.6,0.3333333333333333,34.06666666666667,320.12,21.34133333333333,Jalen Hurts,2024.0,7.714285714285714,3.138985905652931,6.341234102284621,8.072671060941293,-1.731436958656673,16.96992190857708,39.61210713762022,-0.7965202388136652,50.285714285714285,405.7857142857143,2.5,0.7142857142857143,105.62272794988472,34.642857142857146,68.90414160501773,62.02076287072686,6.883378734290866,21.75524399173128,45.860811328014,1.0
Jared Goff,DET,QB,30.0,17.0,17.0,390.0,539.0,4629.0,37.0,12.0,35.0,56.0,0.0,1.6,6.0,0.0,2024,1.0,1.0,1.0,0.0,575.0,0.7235621521335807,22.94117647058824,31.705882352941178,272.29411764705884,2.176470588235294,0.7058823529411765,2.0588235294117645,3.294117647058824,0.0,0.3529411764705882,0.0,33.8235294117647,333.96,19.64470588235294,Jared Goff,2024.0,9.22222222222222,2.7937130833885995,5.02493205743545,6.676975263291292,-1.6520432058558423,11.530304500077603,39.41706952870319,-1.6545674613174213,59.888888888888886,514.3333333333334,4.111111111111111,1.3333333333333333,113.94293020275153,43.333333333333336,74.3280023165101,68.60967980270509,5.718322513804995,19.489019007597854,45.18567292054851,16.0
Jayden Daniels,WAS,QB,24.0,17.0,17.0,331.0,480.0,3568.0,25.0,9.0,148.0,891.0,6.0,6.02027027027027,5.0,0.0,2024,1.0,1.0,1.0,0.0,628.0,0.6895833333333333,19.47058823529412,28.23529411764705,209.8823529411765,1.4705882352941178,0.5294117647058824,8.705882352941176,52.41176470588236,0.3529411764705882,0.2941176470588235,0.0,36.94117647058823,358.82,21.10705882352941,Jayden Daniels,2024.0,8.25,2.682105144218675,5.705084657661351,7.603122542037351,-1.898037884376001,14.231160841860325,41.67558825662918,-1.3496934192703929,59.125,443.25,3.125,1.125,100.77215952526387,40.875,70.11328294674905,68.22601433497373,1.8872686117753183,21.22982352857905,51.39927937454284,5.0
Joe Burrow,CIN,QB,28.0,17.0,17.0,460.0,652.0,4918.0,43.0,9.0,42.0,201.0,2.0,4.785714285714286,11.0,5.0,2024,1.0,1.0,1.0,0.0,694.0,0.7055214723926381,27.058823529411764,38.35294117647059,289.29411764705884,2.5294117647058822,0.5294117647058824,2.4705882352941178,11.823529411764708,0.1176470588235294,0.6470588235294118,0.2941176470588235,40.8235294117647,381.82,22.46,Joe Burrow,2024.0,8.833333333333334,2.704944690818897,5.852682787462511,7.360027624797218,-1.5073448373347065,15.66570024025631,42.22138482952182,-0.7785435775658038,72.44444444444444,546.4444444444445,4.777777777777778,1.0,107.56674366895746,51.11111111111112,70.59898180238646,65.82012297866436,4.778858823722097,19.90263822312864,47.1217548429036,9.0
Jordan Love,GB,QB,26.0,15.0,15.0,268.0,425.0,3389.0,25.0,11.0,25.0,83.0,1.0,3.32,4.0,0.0,2024,0.8823529411764706,1.0,0.0,0.0,450.0,0.6305882352941177,17.866666666666667,28.33333333333333,225.9333333333333,1.6666666666666667,0.7333333333333333,1.6666666666666667,5.533333333333333,0.0666666666666666,0.2666666666666666,0.0,30.0,238.86,15.924,Jordan Love,2024.0,9.2,2.873028812106352,6.276679760849521,8.835550297223671,-2.558870536374149,17.236818200586313,46.04288433949272,0.0174513580078438,55.86666666666667,447.26666666666665,3.333333333333333,1.4666666666666666,98.80821914020798,35.266666666666666,63.776065182331166,64.21293078405829,-0.4368656017271239,23.16584058149027,52.32621463017093,10.0
Josh Allen,BUF,QB,28.0,17.0,17.0,307.0,483.0,3731.0,28.0,6.0,102.0,531.0,12.0,5.205882352941177,5.0,2.0,2024,1.0,1.0,1.0,0.0,585.0,0.6356107660455487,18.058823529411764,28.41176470588235,219.4705882352941,1.6470588235294117,0.3529411764705882,6.0,31.23529411764705,0.7058823529411765,0.2941176470588235,0.1176470588235294,34.411764705882355,383.04,22.531764705882352,Josh Allen,2024.0,8.294117647058824,2.8920799759826736,5.383274836066627,8.326767656469835,-2.943492820403208,17.05166334022726,39.43785526011592,-0.5999857729478671,56.8235294117647,438.9411764705882,3.294117647058824,0.7058823529411765,103.39703817757456,36.11764705882353,64.198675372016,63.80525487134049,0.393420500675509,21.48001543673128,46.158636522409225,17.0
Justin Fields,NYJ,QB,25.0,10.0,6.0,106.0,161.0,1106.0,5.0,1.0,62.0,289.0,5.0,4.661290322580645,6.0,1.0,2024,0.5882352941176471,0.6,0.0,0.0,223.0,0.6583850931677019,10.6,16.1,110.6,0.5,0.1,6.2,28.9,0.5,0.6,0.1,22.3,120.14,12.014,Justin Fields,2024.0,3.0,3.033197747793672,5.342926025171912,7.580379235352237,-2.237453210180326,11.9765249094807,39.10765992251195,-2.1008336219003345,45.85714285714285,316.0,1.4285714285714286,0.2857142857142857,93.10410652787684,30.285714285714285,65.92447486240873,64.3439168462425,1.5805580161662411,21.293306573882223,44.72097707987776,2.0
Justin Herbert,LAC,QB,26.0,17.0,17.0,332.0,504.0,3870.0,23.0,3.0,69.0,306.0,2.0,4.434782608695652,6.0,2.0,2024,1.0,1.0,0.0,0.0,573.0,0.6587301587301587,19.529411764705884,29.647058823529413,227.64705882352945,1.3529411764705883,0.1764705882352941,4.0588235294117645,18.0,0.1176470588235294,0.3529411764705882,0.1176470588235294,33.705882352941174,282.4,16.61176470588235,Justin Herbert,2024.0,9.22222222222222,2.9095067830951824,6.395311074635496,8.500487177974739,-2.105176103339243,15.90325301339208,39.426376373418464,-0.6403595841219136,56.0,430.0,2.555555555555556,0.3333333333333333,102.08090358497908,36.888888888888886,66.34849956226671,64.61391080761496,1.7345887546517522,21.756596813594697,48.07035360419346,10.0
Kyler Murray,ARI,QB,27.0,17.0,17.0,372.0,541.0,3851.0,21.0,11.0,78.0,572.0,5.0,7.333333333333333,8.0,4.0,2024,1.0,1.0,0.0,0.0,619.0,0.6876155268022182,21.88235294117647,31.823529411764707,226.52941176470588,1.2352941176470589,0.6470588235294118,4.588235294117647,33.64705882352941,0.2941176470588235,0.4705882352941176,0.2352941176470588,36.41176470588236,306.24,18.014117647058825,Kyler Murray,2024.0,8.88888888888889,2.8105346125735373,5.04363633370294,7.072814523245531,-2.02917818954259,16.835023700821054,35.217998671479855,-1.5943882877917872,60.11111111111112,427.8888888888889,2.333333333333333,1.2222222222222223,94.99661348962172,41.333333333333336,69.20303829598211,66.71681551755992,2.486222778422188,20.20969107951673,44.0509547234838,1.0
Lamar Jackson,BAL,QB,27.0,17.0,17.0,316.0,474.0,4172.0,41.0,4.0,139.0,915.0,4.0,6.58273381294964,10.0,5.0,2024,1.0,1.0,1.0,0.0,613.0,0.6666666666666666,18.58823529411765,27.88235294117647,245.41176470588235,2.411764705882353,0.2352941176470588,8.176470588235293,53.8235294117647,0.2352941176470588,0.5882352941176471,0.2941176470588235,36.05882352941177,432.38,25.434117647058823,Lamar Jackson,2024.0,8.722222222222221,3.119350357458229,6.777633255756663,8.896051353182967,-2.118418097426304,9.91349159066066,40.13120852879424,-0.5766820466225071,52.66666666666666,463.55555555555554,4.555555555555555,0.4444444444444444,120.08841746808002,35.111111111111114,68.4249044973896,67.433497303424,0.991407193965601,22.09991530266968,47.56462389112813,8.0
Matthew Stafford,LAR,QB,36.0,16.0,16.0,340.0,517.0,3762.0,20.0,8.0,30.0,41.0,0.0,1.3666666666666667,6.0,2.0,2024,0.9411764705882352,1.0,0.0,0.0,547.0,0.6576402321083172,21.25,32.3125,235.125,1.25,0.5,1.875,2.5625,0.0,0.375,0.125,34.1875,222.58,13.91125,Matthew Stafford,2024.0,8.647058823529411,2.7780512517893525,5.865181323513062,7.657491754700612,-1.7923104311875515,12.42401485878643,40.9882776022618,-0.8897726640890999,60.8235294117647,442.5882352941176,2.3529411764705883,0.9411764705882352,94.23897791858168,40.0,65.77154645173873,67.27542517561356,-1.503878723874829,21.533895973259263,47.7125473322976,9.0
Patrick Mahomes,KC,QB,29.0,16.0,16.0,392.0,581.0,3928.0,26.0,11.0,58.0,307.0,2.0,5.293103448275862,2.0,0.0,2024,0.9411764705882352,1.0,0.0,0.0,640.0,0.6746987951807228,24.5,36.3125,245.5,1.625,0.6875,3.625,19.1875,0.125,0.125,0.0,40.0,293.52,18.345,Patrick Mahomes,2024.0,8.647058823529411,2.8061388990410285,3.966788709118626,6.263174437245389,-2.2963857281267623,10.40677577101455,38.17963055118549,-2.2489509417202926,68.3529411764706,462.11764705882354,3.0588235294117645,1.2941176470588236,92.41347497651876,46.11764705882353,67.51726674299111,69.19170641701403,-1.6744396740229193,18.90012591068909,51.59832305805395,15.0
