Name,Team,Pos,Age,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_jersey_number,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
Chase Brown,CIN,RB,24.0,16.0,10.0,229.0,990.0,7.0,4.323144104803493,54.0,360.0,4.0,6.666666666666667,2.0,1.0,2024,0.9411764705882352,0.625,0.0,0.0,283.0,14.3125,61.875,0.4375,3.375,22.5,0.25,0.125,0.0625,17.6875,226.0,14.125,Chase Brown,2024.0,9.642857142857142,4.020526111382326,19.80096015903876,2.646703570149612,31.714285714285715,134.0,4.159704384822913,1.0,30.0,121.22489691376909,8.060817371945202,0.2227786394981941,0.3689808810926823
Christian McCaffrey,SF,RB,28.0,4.0,4.0,50.0,202.0,0.0,4.04,15.0,146.0,0.0,9.733333333333333,1.0,1.0,2024,0.2352941176470588,1.0,0.0,0.0,65.0,12.5,50.5,0.0,3.75,36.5,0.0,0.25,0.25,16.25,40.3,10.075,Christian McCaffrey,2024.0,11.0,5.447234454670142,27.51809593914857,3.035272053872054,14.333333333333334,49.66666666666666,3.325358851674641,0.0,23.0,60.33712134361763,-11.003788010284298,-0.9189164854233246,0.3253043253043252
Chuba Hubbard,CAR,RB,25.0,15.0,15.0,250.0,1195.0,10.0,4.78,43.0,171.0,1.0,3.976744186046512,4.0,3.0,2024,0.8823529411764706,1.0,0.0,0.0,293.0,16.666666666666668,79.66666666666667,0.6666666666666666,2.8666666666666667,11.4,0.0666666666666666,0.2666666666666666,0.2,19.53333333333333,218.1,14.54,Chuba Hubbard,2024.0,8.266666666666667,3.5497383379562426,22.40787521846345,2.6132852595050475,32.93333333333333,158.4,4.80281574852163,1.3333333333333333,30.0,117.53785243533432,38.06214756466567,1.0540878060680754,0.5105844511664476
Cordarrelle Patterson,PIT,RB,33.0,13.0,1.0,32.0,135.0,0.0,4.21875,12.0,80.0,1.0,6.666666666666667,1.0,1.0,2024,0.7647058823529411,0.0769230769230769,0.0,0.0,44.0,2.4615384615384617,10.384615384615383,0.0,0.9230769230769232,6.153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,3.3846153846153846,31.5,2.423076923076923,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,25.0,17.0,17.0,253.0,959.0,6.0,3.790513833992095,42.0,386.0,0.0,9.19047619047619,2.0,0.0,2024,1.0,1.0,0.0,0.0,295.0,14.882352941176473,56.41176470588236,0.3529411764705882,2.4705882352941178,22.705882352941178,0.0,0.1176470588235294,0.0,17.352941176470587,191.5,11.264705882352942,D'Andre Swift,2024.0,8.705882352941176,5.328025796113655,22.25181859592516,2.862751728048605,29.23529411764705,111.6470588235294,3.750671207050916,0.7058823529411765,4.0,130.18966432263326,-19.3073113814568,-0.7610920520185994,0.280839650262524
Dare Ogunbowale,HOU,RB,30.0,17.0,1.0,30.0,112.0,0.0,3.733333333333333,19.0,198.0,1.0,10.421052631578949,0.0,0.0,2024,1.0,0.0588235294117647,0.0,0.0,49.0,1.7647058823529411,6.588235294117647,0.0,1.1176470588235294,11.647058823529411,0.0588235294117647,0.0,0.0,2.8823529411764706,46.5,2.735294117647059,Dare Ogunbowale,2024.0,5.0,6.355,13.333333333333334,2.822,15.0,30.0,2.0,0.0,33.0,45.184768397030034,-15.184768397030034,-1.0123178931353356,0.2
David Montgomery,DET,RB,27.0,14.0,14.0,185.0,775.0,12.0,4.1891891891891895,36.0,341.0,0.0,9.47222222222222,2.0,1.0,2024,0.8235294117647058,1.0,0.0,0.0,222.0,13.214285714285714,55.35714285714285,0.8571428571428571,2.571428571428572,24.357142857142858,0.0,0.1428571428571428,0.0714285714285714,15.857142857142858,203.72,14.551428571428572,David Montgomery,2024.0,6.636363636363637,3.9834992160505056,28.64942978288712,2.7398845769364533,30.818181818181817,131.36363636363637,4.280298507803739,2.0,5.0,126.66633321656116,1.8791213288933784,0.122230881178008,0.4277520069349446
De'Von Achane,MIA,RB,23.0,17.0,16.0,203.0,907.0,6.0,4.467980295566503,78.0,592.0,6.0,7.589743589743589,1.0,0.0,2024,1.0,0.9411764705882352,0.0,0.0,281.0,11.941176470588236,53.35294117647059,0.3529411764705882,4.588235294117647,34.8235294117647,0.3529411764705882,0.0588235294117647,0.0,16.529411764705884,260.9,15.34705882352941,De'Von Achane,2024.0,9.8,5.063012912725607,19.50301332654273,2.839306756946757,12.866666666666667,58.333333333333336,4.489431287666582,0.4,28.0,61.93100974217158,-5.597676408838251,-0.4351967735903172,0.3103149138443256
Derrick Henry,BAL,RB,30.0,17.0,17.0,325.0,1921.0,16.0,5.910769230769231,19.0,193.0,2.0,10.157894736842104,3.0,1.0,2024,1.0,1.0,1.0,0.0,344.0,19.11764705882353,113.0,0.9411764705882352,1.1176470588235294,11.352941176470589,0.1176470588235294,0.1764705882352941,0.0588235294117647,20.23529411764705,326.90000000000003,19.229411764705883,Derrick Henry,2024.0,8.722222222222221,3.234694717661577,33.137904008676955,2.735314676003246,36.11111111111112,213.44444444444449,5.88177249601544,1.7777777777777777,22.0,146.4607858262199,62.42810306266899,1.8945794968625704,0.4604709146026027
Devin Singletary,NYG,RB,27.0,15.0,5.0,113.0,437.0,4.0,3.8672566371681416,21.0,119.0,0.0,5.666666666666667,2.0,2.0,2024,0.8823529411764706,0.3333333333333333,0.0,0.0,134.0,7.533333333333333,29.133333333333333,0.2666666666666666,1.4,7.933333333333334,0.0,0.1333333333333333,0.1333333333333333,8.933333333333334,86.10000000000001,5.74,Devin Singletary,2024.0,2.0,4.975060613297684,28.174778761061948,2.7892215791996167,33.8,131.6,3.856308470290771,1.2,26.0,144.09784396047934,-12.89784396047932,-0.2921591617141362,0.3668956043956043
