Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rush_Att,Rush_Yds,Rush_TD,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
Mike Evans,TB,WR,31.0,14.0,14.0,74.0,1004.0,11.0,13.567567567567568,0.0,0.0,0.0,0.0,0.0,2024,0.8235294117647058,1.0,0.0,0.0,74.0,5.285714285714286,71.71428571428571,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,5.285714285714286,203.4,14.528571428571428,Mike Evans,2024.0,9.461538461538462,6.68827829662692,2.3792805424445933,11.80705305805306,44.14243185486571,11.153846153846152,16.46153846153846,68.46181596181597,151.23076923076923,1.6153846153846154,3.642559944559944,2.803434241742381,0.8391257028175638,13.0
Mike Williams,LAC,WR,30.0,18.0,5.0,21.0,298.0,1.0,14.19047619047619,0.0,0.0,0.0,0.0,0.0,2024,1.0588235294117647,0.2777777777777778,0.0,0.0,21.0,1.1666666666666667,16.555555555555557,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,46.3,2.572222222222222,Mike Williams,2024.0,4.0,5.3725,3.241816675707335,14.448,25.045070031895712,4.0,5.0,80.0,67.0,0.0,2.9075000000000024,3.8592913195128062,-0.9517913195128038,18.0
Nico Collins,HOU,WR,25.0,12.0,12.0,68.0,1006.0,7.0,14.794117647058824,0.0,0.0,0.0,0.0,0.0,2024,0.7058823529411765,1.0,1.0,0.0,68.0,5.666666666666667,83.83333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,5.666666666666667,176.60000000000002,14.716666666666669,Nico Collins,2024.0,9.333333333333334,5.273349545626331,2.9629067805060623,11.182434674122172,35.51125853872026,11.166666666666666,16.333333333333332,67.98160173160173,161.16666666666666,1.0833333333333333,5.550987278244631,5.044079150350343,0.5069081278942881,12.0
Noah Brown,WAS,WR,28.0,11.0,9.0,35.0,453.0,1.0,12.942857142857145,0.0,0.0,0.0,0.0,0.0,2024,0.6470588235294118,0.8181818181818182,0.0,0.0,35.0,3.1818181818181817,41.18181818181818,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,3.1818181818181817,68.80000000000001,6.254545454545456,Noah Brown,2024.0,7.5,6.728889652014652,2.286296683182409,12.519198412698412,31.81518207168684,9.333333333333334,15.5,58.11507936507937,124.66666666666669,0.3333333333333333,1.9672579365079368,2.2437198978202626,-0.2764619613123255,85.0
Parker Washington,JAX,WR,22.0,17.0,7.0,32.0,390.0,3.0,12.1875,0.0,0.0,0.0,2.0,0.0,2024,1.0,0.4117647058823529,0.0,0.0,32.0,1.8823529411764703,22.94117647058824,0.1764705882352941,0.0,0.0,0.0,0.1176470588235294,0.0,1.8823529411764703,73.0,4.294117647058823,Parker Washington,2024.0,10.6,6.5545333333333335,3.190996290839438,11.922333333333333,26.566915881805848,10.0,16.2,62.549019607843135,128.4,0.8,4.441729166666667,2.817696463275744,1.6240327033909228,11.0
Puka Nacua,LAR,WR,23.0,11.0,11.0,79.0,990.0,3.0,12.531645569620252,11.0,46.0,1.0,0.0,0.0,2024,0.6470588235294118,1.0,0.0,0.0,90.0,7.181818181818182,90.0,0.2727272727272727,1.0,4.181818181818182,0.0909090909090909,0.0,0.0,8.181818181818182,167.1,15.19090909090909,Puka Nacua,2024.0,11.6,6.628921481296482,3.2643230167717,7.538154053493676,32.24066978885526,15.3,20.4,75.96320869905776,193.4,0.6,6.802361799276672,5.312238570422704,1.490123228853968,17.0
Quentin Johnston,LAC,WR,23.0,15.0,11.0,55.0,711.0,8.0,12.927272727272728,3.0,6.0,0.0,0.0,0.0,2024,0.8823529411764706,0.7333333333333333,0.0,0.0,58.0,3.6666666666666665,47.4,0.5333333333333333,0.2,0.4,0.0,0.0,0.0,3.866666666666666,147.2,9.813333333333333,Quentin Johnston,2024.0,9.916666666666666,5.829782356532356,3.0634565325752834,11.868812194749694,31.863165834262983,8.416666666666666,14.166666666666666,54.62988400488401,120.0,1.1666666666666667,5.297600021190932,4.224739332179304,1.0728606890116277,1.0
Rashee Rice,KC,WR,24.0,4.0,4.0,24.0,288.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,2024,0.2352941176470588,1.0,0.0,0.0,25.0,6.0,72.0,0.5,0.25,0.25,0.0,0.0,0.0,6.25,52.900000000000006,13.225,Rashee Rice,2024.0,2.0,6.232420634920636,4.236691317269705,5.063042328042328,35.8961786237517,8.0,9.666666666666666,82.27513227513228,96.0,0.6666666666666666,8.901206349206351,6.787062180729676,2.1141441684766744,4.0
Rashid Shaheed,NO,WR,26.0,6.0,5.0,20.0,349.0,3.0,17.45,6.0,29.0,0.0,1.0,1.0,2024,0.3529411764705882,0.8333333333333334,0.0,0.0,26.0,3.333333333333333,58.16666666666666,0.5,1.0,4.833333333333333,0.0,0.1666666666666666,0.1666666666666666,4.333333333333333,63.8,10.633333333333333,Rashid Shaheed,2024.0,3.8,6.187685714285715,2.7219694743527096,18.312641269841272,48.69047618052302,3.2,7.4,38.29148629148629,63.25,0.4,6.286041666666668,6.259763509423954,0.0262781572427137,22.0
Rashod Bateman,BAL,WR,25.0,17.0,14.0,45.0,756.0,9.0,16.8,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.8235294117647058,0.0,0.0,45.0,2.647058823529412,44.47058823529412,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,2.647058823529412,152.10000000000002,8.947058823529414,Rashod Bateman,2024.0,8.5,5.547879464285714,3.754505621757461,15.823024305555556,32.03025608938097,8.5,14.5,51.25,141.875,1.75,6.450444444444445,5.46768226493487,0.982762179509574,7.0
Ricky Pearsall,SF,WR,24.0,11.0,4.0,31.0,400.0,3.0,12.903225806451612,3.0,45.0,0.0,0.0,0.0,2024,0.6470588235294118,0.3636363636363636,0.0,0.0,35.0,2.8181818181818183,36.36363636363637,0.2727272727272727,0.2727272727272727,4.090909090909091,0.0,0.0,0.0,3.1818181818181817,78.0,7.090909090909091,Ricky Pearsall,2024.0,10.4,5.825578787878788,2.281042151442965,10.156723188405795,22.200719800455914,10.4,15.0,69.81159420289855,140.8,1.2,4.236981182795699,4.0150469793594405,0.221934203436258,14.0
Robert Woods,PIT,WR,32.0,15.0,4.0,20.0,203.0,0.0,10.15,0.0,0.0,0.0,3.0,1.0,2024,0.8823529411764706,0.2666666666666666,0.0,0.0,20.0,1.3333333333333333,13.533333333333331,0.0,0.0,0.0,0.0,0.2,0.0666666666666666,1.3333333333333333,28.3,1.8866666666666667,Robert Woods,2024.0,16.0,4.1475,4.444699783179822,12.126666666666663,17.775389050399433,3.0,6.0,50.0,19.0,0.0,5.350000000000001,7.215769062328377,-1.865769062328376,2.0
Rome Odunze,CHI,WR,22.0,17.0,12.0,54.0,734.0,3.0,13.592592592592592,3.0,15.0,0.0,2.0,1.0,2024,1.0,0.7058823529411765,0.0,0.0,57.0,3.176470588235294,43.1764705882353,0.1764705882352941,0.1764705882352941,0.8823529411764706,0.0,0.1176470588235294,0.0588235294117647,3.3529411764705883,117.9,6.935294117647059,Rome Odunze,2024.0,9.076923076923077,5.866919561621174,2.892425340391348,13.70192599479728,35.18705665343237,7.769230769230769,14.384615384615383,54.75540960689476,105.6923076923077,0.4615384615384615,5.501757834757836,4.610766907262505,0.8909909274953312,15.0
Romeo Doubs,GB,WR,24.0,13.0,12.0,46.0,601.0,4.0,13.065217391304348,0.0,0.0,0.0,0.0,0.0,2024,0.7647058823529411,0.9230769230769232,0.0,0.0,46.0,3.5384615384615383,46.23076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,3.5384615384615383,107.1,8.238461538461538,Romeo Doubs,2024.0,8.11111111111111,6.147011343594677,2.5971266835943845,11.946148148148149,28.88933279413483,9.11111111111111,14.444444444444445,61.629789963123294,115.11111111111111,0.6666666666666666,3.708384518058432,3.4856152277690486,0.2227692902893832,87.0
Stefon Diggs,NE,WR,31.0,8.0,8.0,47.0,496.0,3.0,10.5531914893617,3.0,8.0,1.0,0.0,0.0,2024,0.4705882352941176,1.0,0.0,0.0,51.0,5.875,62.0,0.375,0.375,1.0,0.125,0.0,0.0,6.375,98.42,12.3025,Stefon Diggs,2024.0,4.0,6.833473776641856,2.9936774791019745,8.650969742063491,26.873966397333543,10.444444444444445,14.22222222222222,74.07682980599647,110.22222222222224,0.6666666666666666,4.138723798266351,4.003760082554749,0.1349637157116032,1.0
Tee Higgins,CIN,WR,25.0,12.0,9.0,73.0,911.0,10.0,12.47945205479452,0.0,0.0,0.0,1.0,1.0,2024,0.7058823529411765,0.75,0.0,0.0,73.0,6.083333333333333,75.91666666666667,0.8333333333333334,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,6.083333333333333,185.6,15.466666666666669,Tee Higgins,2024.0,9.923076923076923,6.325390304708231,2.3571890742148245,10.542691723649202,35.62802996348329,11.23076923076923,16.76923076923077,65.95253076728024,140.15384615384616,1.5384615384615383,3.2450304676297828,2.103775761708756,1.1412547059210263,5.0
Terry McLaurin,WAS,WR,29.0,17.0,17.0,82.0,1096.0,13.0,13.365853658536585,2.0,2.0,0.0,1.0,1.0,2024,1.0,1.0,1.0,0.0,84.0,4.823529411764706,64.47058823529412,0.7647058823529411,0.1176470588235294,0.1176470588235294,0.0,0.0588235294117647,0.0588235294117647,4.941176470588236,226.8,13.341176470588236,Terry McLaurin,2024.0,9.066666666666666,6.703505555555555,2.853218293162112,13.692064713064712,40.551166636893655,10.6,15.0,72.06125356125357,143.06666666666666,1.6,3.936430236159505,2.938571169743787,0.9978590664157172,17.0
Tre Tucker,LV,WR,23.0,17.0,14.0,47.0,539.0,3.0,11.46808510638298,9.0,44.0,1.0,0.0,0.0,2024,1.0,0.8235294117647058,0.0,0.0,56.0,2.764705882352941,31.705882352941178,0.1764705882352941,0.5294117647058824,2.588235294117647,0.0588235294117647,0.0,0.0,3.294117647058824,105.8,6.223529411764707,Tre Tucker,2024.0,7.888888888888889,6.055351851851851,2.707333717577058,12.691579561042523,30.81583721280289,8.555555555555555,15.11111111111111,53.60768175582991,94.22222222222224,0.5555555555555556,3.2656402116402115,3.3517554058247083,-0.0861151941844969,11.0
Tutu Atwell,LAR,WR,25.0,17.0,5.0,42.0,562.0,0.0,13.38095238095238,2.0,7.0,0.0,0.0,0.0,2024,1.0,0.2941176470588235,0.0,0.0,45.0,2.4705882352941178,33.05882352941177,0.0,0.1176470588235294,0.4117647058823529,0.0,0.0,0.0,2.647058823529412,77.9,4.582352941176471,Tutu Atwell,2024.0,6.166666666666667,7.791862329434697,3.2933442716526304,10.87264934289128,29.522774371333497,11.166666666666666,16.666666666666668,67.26254480286738,147.16666666666666,0.0,3.727468253968253,4.30953238899986,-0.5820641350316061,5.0
Tyler Lockett,TEN,WR,32.0,17.0,14.0,49.0,600.0,2.0,12.244897959183673,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.8235294117647058,0.0,0.0,49.0,2.8823529411764706,35.294117647058826,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,2.8823529411764706,96.5,5.676470588235294,Tyler Lockett,2024.0,3.7142857142857135,6.267247732426304,2.5008721991704745,11.523324523503094,30.567863746807056,11.0,16.857142857142858,64.75991297419868,138.42857142857142,0.4285714285714285,2.9589703595724006,4.452092021263629,-1.4931216616912275,16.0
Tyreek Hill,MIA,WR,30.0,17.0,17.0,81.0,959.0,6.0,11.839506172839506,8.0,53.0,0.0,0.0,0.0,2024,1.0,1.0,0.0,0.0,89.0,4.764705882352941,56.41176470588236,0.3529411764705882,0.4705882352941176,3.117647058823529,0.0,0.0,0.0,5.235294117647059,177.7,10.452941176470588,Tyreek Hill,2024.0,8.666666666666666,5.841201308827624,3.1423707812905337,11.771827571299523,47.2520058478921,10.4,15.8,65.22357723577235,124.93333333333334,0.7333333333333333,3.8718544385655496,4.104566465050455,-0.2327120264849048,10.0
Van Jefferson,TEN,WR,28.0,17.0,12.0,24.0,276.0,2.0,11.5,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.7058823529411765,0.0,0.0,24.0,1.411764705882353,16.235294117647058,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,1.411764705882353,51.6,3.0352941176470587,Van Jefferson,2024.0,6.5,6.469666666666667,2.094537847752676,14.423,26.18807455747988,3.5,5.0,70.0,44.0,0.0,1.985,2.44707435155974,-0.4620743515597396,11.0
Wan'Dale Robinson,NYG,WR,23.0,17.0,7.0,93.0,699.0,3.0,7.516129032258065,3.0,18.0,0.0,0.0,0.0,2024,1.0,0.4117647058823529,0.0,0.0,96.0,5.470588235294118,41.11764705882353,0.1764705882352941,0.1764705882352941,1.0588235294117647,0.0,0.0,0.0,5.647058823529412,136.2,8.011764705882353,Wan'Dale Robinson,2024.0,9.066666666666666,6.698482324722148,3.4335463384069858,4.992197691197691,20.26103532986487,11.933333333333334,18.0,69.14478114478113,90.93333333333334,0.3333333333333333,4.201097132616487,3.74170103859808,0.4593960940184077,17.0
Xavier Legette,CAR,WR,23.0,16.0,13.0,49.0,497.0,4.0,10.142857142857142,6.0,24.0,0.0,0.0,0.0,2024,0.9411764705882352,0.8125,0.0,0.0,55.0,3.0625,31.0625,0.25,0.375,1.5,0.0,0.0,0.0,3.4375,100.6,6.2875,Xavier Legette,2024.0,9.6,6.048784900542495,2.488483158852295,12.900823809523809,30.42119833823989,8.5,15.0,55.65079365079365,87.1,0.7,2.49295,2.159205555134612,0.333744444865387,17.0
Xavier Worthy,KC,WR,21.0,17.0,13.0,59.0,638.0,6.0,10.813559322033898,20.0,104.0,3.0,0.0,0.0,2024,1.0,0.7647058823529411,0.0,0.0,79.0,3.4705882352941178,37.52941176470589,0.3529411764705882,1.1764705882352942,6.117647058823529,0.1764705882352941,0.0,0.0,4.647058823529412,157.7,9.276470588235291,Xavier Worthy,2024.0,10.727272727272728,6.311479222797405,3.8671349763098375,8.334381196004573,25.515220835380088,9.818181818181818,15.909090909090908,64.20030546653923,101.0,0.9090909090909092,6.404342064714945,6.523273231398503,-0.1189311666835564,1.0
Zay Flowers,BAL,WR,24.0,17.0,15.0,74.0,1059.0,4.0,14.31081081081081,9.0,56.0,0.0,0.0,0.0,2024,1.0,0.8823529411764706,1.0,0.0,83.0,4.352941176470588,62.294117647058826,0.2352941176470588,0.5294117647058824,3.294117647058824,0.0,0.0,0.0,4.882352941176471,172.5,10.147058823529411,Zay Flowers,2024.0,8.928571428571429,7.270240755276469,3.890842165681285,11.258267619900623,33.70166677169122,10.142857142857142,15.928571428571429,62.92863540400487,147.5,0.5714285714285714,6.118752114359258,4.146042344330783,1.9727097700284737,4.0
