Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number,next_year_Rec_Yds,next_year_Points_half-ppr,next_year_PPG_half-ppr
Dalton Kincaid,BUF,TE,24.0,16.0,11.0,73.0,673.0,2.0,9.219178082191782,1.0,1.0,2023,0.9411764705882352,0.6875,0.0,0.0,73.0,4.5625,42.0625,0.125,0.0625,0.0625,4.5625,113.8,7.1125,Dalton Kincaid,2023.0,9.333333333333334,6.147289892596855,3.697238903879241,6.500215472027972,16.91167428019259,11.416666666666666,14.166666666666666,80.45121545121545,107.58333333333331,0.3333333333333333,4.608337654924983,4.52221030995463,0.086127344970353,86.0,448.0,78.80000000000001,6.061538461538462
Dalton Schultz,HOU,TE,24.0,16.0,14.0,63.0,615.0,4.0,9.761904761904765,1.0,1.0,2020,1.0,0.875,0.0,0.0,63.0,3.9375,38.4375,0.25,0.0625,0.0625,3.9375,115.0,7.1875,Dalton Schultz,2020.0,7.2,6.359373937532002,3.07423713697236,6.816145291599786,15.255606185471327,11.0,15.4,72.6262707330123,107.8,0.7,4.592723809523809,3.443076992145163,1.1496468173786465,86.0,808.0,167.8,9.870588235294118
Dalton Schultz,HOU,TE,25.0,17.0,15.0,78.0,808.0,8.0,10.35897435897436,0.0,0.0,2021,1.0,0.8823529411764706,0.0,0.0,78.0,4.588235294117647,47.52941176470589,0.4705882352941176,0.0,0.0,4.588235294117647,167.8,9.870588235294118,Dalton Schultz,2021.0,8.571428571428571,5.4678721340388,3.55254308790986,6.915896956218384,15.9152798755465,10.642857142857142,14.142857142857142,76.38321995464852,111.35714285714286,1.0,4.841072802197803,4.667642257668776,0.1734305445290268,86.0,577.0,114.2,7.613333333333333
Dalton Schultz,HOU,TE,26.0,15.0,15.0,57.0,577.0,5.0,10.12280701754386,1.0,1.0,2022,0.8823529411764706,1.0,0.0,0.0,57.0,3.8,38.46666666666667,0.3333333333333333,0.0666666666666666,0.0666666666666666,3.8,114.2,7.613333333333333,Dalton Schultz,2022.0,9.9,6.161349861973775,2.9865065718889765,7.794263179953629,21.553786226669647,10.3,15.8,67.03147850900659,104.7,0.8,3.9271781954887217,3.3460511090398546,0.5811270864488671,86.0,635.0,121.0,8.066666666666666
Dalton Schultz,HOU,TE,27.0,15.0,8.0,59.0,635.0,5.0,10.76271186440678,1.0,1.0,2023,0.8823529411764706,0.5333333333333333,0.0,0.0,59.0,3.933333333333333,42.333333333333336,0.3333333333333333,0.0666666666666666,0.0666666666666666,3.933333333333333,121.0,8.066666666666666,Dalton Schultz,2023.0,8.9,6.059946802054155,3.3071277092143623,8.266929112554113,18.87541818963565,10.7,15.7,67.30627705627705,116.2,0.8,4.226657869249395,3.8188805315342607,0.4077773377151345,86.0,532.0,91.7,5.394117647058824
David Njoku,CLE,TE,21.0,16.0,5.0,32.0,386.0,4.0,12.0625,0.0,0.0,2017,1.0,0.3125,0.0,0.0,33.0,2.0,24.125,0.25,0.0,0.0,2.0625,78.7,4.91875,David Njoku,2017.0,7.333333333333333,5.850826923076923,2.394947146367798,12.079821428571428,21.169055563568573,7.166666666666667,14.833333333333334,40.87301587301587,90.0,0.8333333333333334,5.193020833333333,4.371399741884887,0.8216210914484456,85.0,639.0,115.9,7.24375
David Njoku,CLE,TE,22.0,16.0,14.0,56.0,639.0,4.0,11.410714285714286,0.0,0.0,2018,1.0,0.875,0.0,0.0,56.0,3.5,39.9375,0.25,0.0,0.0,3.5,115.9,7.24375,David Njoku,2018.0,7.583333333333333,5.699293394777265,3.1435107096375536,8.536310515873016,16.16836725181761,8.583333333333334,13.75,62.74350649350649,93.0,0.5833333333333334,5.222784722222222,3.897420122843387,1.3253645993788357,85.0,41.0,12.6,3.1500000000000004
David Njoku,CLE,TE,23.0,4.0,1.0,5.0,41.0,1.0,8.2,0.0,0.0,2019,0.25,0.25,0.0,0.0,5.0,1.25,10.25,0.25,0.0,0.0,1.25,12.6,3.1500000000000004,David Njoku,2019.0,1.0,3.316,2.8804054004585686,7.198333333333332,12.992990583917448,4.0,6.0,66.66666666666666,37.0,1.0,3.722500000000002,2.8631773354202323,0.8593226645797696,85.0,213.0,42.8,3.292307692307692
David Njoku,CLE,TE,24.0,13.0,5.0,19.0,213.0,2.0,11.210526315789474,0.0,0.0,2020,0.8125,0.3846153846153846,0.0,0.0,19.0,1.4615384615384617,16.384615384615383,0.1538461538461538,0.0,0.0,1.4615384615384617,42.8,3.292307692307692,David Njoku,2020.0,17.0,3.5125,1.4784416086480463,9.284,18.476357267950963,2.0,5.0,40.0,13.0,0.0,2.635,1.0881563234665492,1.5468436765334506,85.0,475.0,89.6,5.6
David Njoku,CLE,TE,25.0,16.0,11.0,36.0,475.0,4.0,13.194444444444445,0.0,0.0,2021,0.9411764705882352,0.6875,0.0,0.0,37.0,2.25,29.6875,0.25,0.0,0.0,2.3125,89.6,5.6,David Njoku,2021.0,6.6,4.279633333333334,2.571230647168311,10.951198921832884,20.57667493199869,10.4,15.0,69.58490566037736,152.8,1.2,8.279579365079366,5.449847936443006,2.8297314286363595,85.0,628.0,113.0,8.071428571428571
