player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
Chris Godwin,2022,10.266666666666667,6.58530554856509,3.0350932128358457,5.829738272760105,19.184017054666224,13.666666666666666,18.733333333333334,74.78313600848811,133.53333333333333,0.4,5.056031094831095,4.275959643629974,0.7800714512011212,14.0
Chris Godwin,2023,9.0,7.090582342175599,2.9269583659890266,9.346477120918296,27.47553863059041,9.764705882352942,15.117647058823529,65.44842412489471,120.47058823529412,0.23529411764705882,4.769240845735885,4.082689780991685,0.6865510647441999,14.0
Chris Godwin,2024,3.5,6.308788116123642,3.2888377693758772,5.715917812586159,26.50981621138202,12.5,15.5,80.90062379376896,144.0,1.25,7.171449323593073,5.186910487841257,1.9845388357518163,14.0
Chris Harper,2016,14.0,3.3840000000000003,2.521795165174857,8.808000000000002,21.675361748203564,1.0,5.0,20.0,8.0,0.0,2.890000000000001,5.72248268127,-2.8324826812699992,14.0
Chris Herndon,2018,9.6,5.4154857142857145,3.5170212876618336,9.220666666666668,17.587935478693474,11.6,16.8,66.66666666666666,142.8,1.2,5.390835164835165,4.23134057458393,1.1594945902512344,89.0
Chris Herndon,2020,2.0,8.439166666666665,4.151025562790468,5.367857142857142,15.368646296318936,4.5,6.0,72.85714285714286,29.0,0.0,4.779166666666667,4.488337984387215,0.29082868227945213,89.0
Chris Hogan,2016,8.857142857142858,5.569712585034013,3.2424402777820243,12.70549214168426,20.425165937211798,8.571428571428571,13.0,66.23035421064978,156.71428571428572,0.8571428571428571,5.937109022556391,5.381729376869928,0.5553796456864625,15.0
Chris Hogan,2017,4.888888888888889,5.6262109988776645,2.6785985476431624,13.340719631069915,24.343789744402123,7.444444444444445,12.666666666666666,57.11168722468157,95.44444444444444,1.1111111111111112,5.041299019607843,5.615025531107392,-0.5737265114995492,15.0
Chris Hogan,2018,5.4,6.986345578231292,3.528219036717568,10.931974025974025,24.602655148418926,10.2,16.6,56.77922077922078,142.4,1.0,4.713552380952381,4.251481291524781,0.4620710894275993,15.0
Chris Hogan,2020,3.0,6.249375000000001,3.2747988012246703,8.753749999999998,29.963926174704763,5.0,8.0,62.5,49.0,0.0,2.502916666666667,2.6316400415120524,-0.12872337484538543,15.0
Chris Lacy,2019,17.0,5.48,2.68062892401043,11.957142857142856,31.866291022614774,2.0,7.0,28.57142857142857,12.0,0.0,2.255000000000001,1.8470944361309307,0.40790556386907,15.0
Chris Moore,2017,6.5,7.4939583333333335,1.9145230709930843,14.871339285714285,47.59465474935752,2.5,7.5,33.92857142857142,40.0,0.5,4.096666666666666,3.4781919881403383,0.618474678526328,10.0
Chris Moore,2021,5.5,6.291,3.350893692625278,4.581000000000001,9.246734188547325,4.5,5.0,90.0,61.5,0.5,9.463499999999998,6.489230430950488,2.9742695690495107,15.0
Chris Moore,2022,11.75,6.324256583694084,2.9631346431244743,10.182815435971687,25.214566487235263,9.875,15.25,62.56698256698257,111.25,0.375,5.406015625,3.602822653530817,1.8031929714691821,15.0
Chris Olave,2022,8.5,6.962623606552178,2.581349667134567,13.796773730004825,43.30246600980512,9.857142857142858,16.5,61.951678107140296,142.14285714285714,0.5714285714285714,2.8159302721088433,3.1282923231401973,-0.312362051031354,12.0
Chris Olave,2023,7.9375,6.174034307464177,2.9206101568594462,13.775189228721159,40.13890102430368,10.6875,17.0625,61.27376925610621,136.875,0.5625,3.9505287356321834,4.323574939109474,-0.3730462034772906,12.0
